Run, Total, Start, End, Time
0, 10, 1760278376.524457, 1760278391.157413, 14.63295602798462
1, 10, 1760278391.15744, 1760278403.741384, 12.583944082260132
2, 10, 1760278403.741408, 1760278416.871653, 13.130244970321655
3, 10, 1760278416.8716779, 1760278429.320694, 12.449016094207764
4, 10, 1760278429.3207219, 1760278441.8354402, 12.514718294143677
5, 10, 1760278441.835467, 1760278454.10891, 12.27344298362732
6, 10, 1760278454.1089349, 1760278466.652509, 12.543574094772339
7, 10, 1760278466.652534, 1760278479.926966, 13.274431943893433
8, 10, 1760278479.92699, 1760278492.78146, 12.854470014572144
9, 10, 1760278492.781489, 1760278505.139267, 12.357778072357178
Verification successful
Verification took 12.36 seconds.

12.861457657814025
