Run, Total, Start, End, Time
0, 10, 1760279034.1617222, 1760279038.014337, 3.8526148796081543
1, 10, 1760279038.014359, 1760279041.233739, 3.2193799018859863
2, 10, 1760279041.2337642, 1760279044.2275178, 2.993753671646118
3, 10, 1760279044.227542, 1760279047.2480419, 3.0204999446868896
4, 10, 1760279047.248065, 1760279050.173455, 2.9253900051116943
5, 10, 1760279050.1734788, 1760279053.0275981, 2.854119300842285
6, 10, 1760279053.027622, 1760279055.9865758, 2.958953857421875
7, 10, 1760279055.9866009, 1760279058.9475, 2.9608991146087646
8, 10, 1760279058.947524, 1760279061.923254, 2.9757299423217773
9, 10, 1760279061.923278, 1760279064.829064, 2.9057857990264893
Verification successful
Verification took 2.91 seconds.

3.0667126417160033
