Run, Total, Start, End, Time
0, 10, 1760279150.936259, 1760279157.485794, 6.549535036087036
1, 10, 1760279157.485815, 1760279163.213587, 5.727771997451782
2, 10, 1760279163.21361, 1760279168.748659, 5.535048961639404
3, 10, 1760279168.7486851, 1760279174.2620218, 5.513336658477783
4, 10, 1760279174.262049, 1760279179.702707, 5.440658092498779
5, 10, 1760279179.702731, 1760279185.0680408, 5.365309953689575
6, 10, 1760279185.068063, 1760279190.565652, 5.497588872909546
7, 10, 1760279190.56568, 1760279196.010426, 5.444746017456055
8, 10, 1760279196.010452, 1760279201.453289, 5.4428369998931885
9, 10, 1760279201.4533162, 1760279206.848769, 5.3954527378082275
Verification successful
Verification took 5.40 seconds.

5.5912285327911375
