Run, Total, Start, End, Time
0, 10, 1760276363.566863, 1760276372.9635332, 9.39667010307312
1, 10, 1760276372.963558, 1760276381.383604, 8.420046091079712
2, 10, 1760276381.383627, 1760276390.0008802, 8.617253303527832
3, 10, 1760276390.000905, 1760276399.125277, 9.124372005462646
4, 10, 1760276399.125299, 1760276408.108906, 8.983607053756714
5, 10, 1760276408.1089332, 1760276417.073566, 8.964632749557495
6, 10, 1760276417.0735931, 1760276425.338738, 8.26514482498169
7, 10, 1760276425.338762, 1760276433.54269, 8.203927993774414
8, 10, 1760276433.5427148, 1760276442.350987, 8.808272123336792
9, 10, 1760276442.35101, 1760276450.759579, 8.408568859100342
Verification successful
8.719249510765076
