Run, Total, Start, End, Time
0, 10, 1760276813.943984, 1760276863.448597, 49.50461292266846
1, 10, 1760276863.448622, 1760276911.9339762, 48.48535418510437
2, 10, 1760276911.933999, 1760276957.2520478, 45.31804871559143
3, 10, 1760276957.252073, 1760277005.883083, 48.63101005554199
4, 10, 1760277005.883105, 1760277051.137824, 45.25471901893616
5, 10, 1760277051.13785, 1760277096.524451, 45.386600971221924
6, 10, 1760277096.5244741, 1760277142.097172, 45.57269787788391
7, 10, 1760277142.097194, 1760277187.652193, 45.554999113082886
8, 10, 1760277187.6522188, 1760277232.9951859, 45.34296703338623
9, 10, 1760277232.9952111, 1760277281.827589, 48.832377910614014
Verification successful
46.78833878040314
