Run, Total, Start, End, Time
0, 10, 1760274509.6227598, 1760274516.503463, 6.8807032108306885
1, 10, 1760274516.503485, 1760274522.500553, 5.997067928314209
2, 10, 1760274522.500575, 1760274528.3476522, 5.847077131271362
3, 10, 1760274528.3476748, 1760274534.198103, 5.850428104400635
4, 10, 1760274534.1981251, 1760274539.994254, 5.796128988265991
5, 10, 1760274539.9942772, 1760274545.7379231, 5.743645906448364
6, 10, 1760274545.737945, 1760274551.5084941, 5.770549058914185
7, 10, 1760274551.508519, 1760274557.433728, 5.925209045410156
8, 10, 1760274557.433748, 1760274563.2518258, 5.818077802658081
9, 10, 1760274563.251848, 1760274569.0688589, 5.817010879516602
Verification failed
5.9445898056030275
