Run, Total, Start, End, Time
0, 10, 1760352358.166219, 1760352511.093013, 152.92679405212402
1, 10, 1760352511.0930839, 1760352659.120657, 148.0275731086731
2, 10, 1760352659.120764, 1760352798.5612679, 139.4405038356781
3, 10, 1760352798.5613701, 1760352938.737945, 140.17657494544983
4, 10, 1760352938.738045, 1760353081.899922, 143.16187691688538
5, 10, 1760353081.900012, 1760353218.6921659, 136.79215383529663
6, 10, 1760353218.69225, 1760353367.8040068, 149.11175680160522
7, 10, 1760353367.804107, 1760353508.2442298, 140.4401228427887
8, 10, 1760353508.2443268, 1760353654.635274, 146.39094710350037
9, 10, 1760353654.63537, 1760353796.555118, 141.91974806785583
Verification successful
Verification took 141.92 seconds.

143.8388051509857
