Run, Total, Start, End, Time
0, 10, 1760275630.9192588, 1760275634.832909, 3.9136502742767334
1, 10, 1760275634.832932, 1760275638.275862, 3.442929983139038
2, 10, 1760275638.275886, 1760275641.535365, 3.25947904586792
3, 10, 1760275641.535391, 1760275644.724274, 3.188882827758789
4, 10, 1760275644.724301, 1760275648.0244942, 3.3001930713653564
5, 10, 1760275648.0245178, 1760275651.2552161, 3.230698347091675
6, 10, 1760275651.255241, 1760275654.4302468, 3.1750059127807617
7, 10, 1760275654.430272, 1760275657.713701, 3.283428907394409
8, 10, 1760275657.713728, 1760275660.9737012, 3.2599732875823975
9, 10, 1760275660.973728, 1760275664.221167, 3.24743914604187
Verification successful
3.330168080329895
