Run, Total, Start, End, Time
0, 10, 1760274040.615777, 1760274049.4449549, 8.829177856445312
1, 10, 1760274049.444979, 1760274056.734271, 7.289292097091675
2, 10, 1760274056.7342951, 1760274063.864177, 7.129881858825684
3, 10, 1760274063.864203, 1760274070.791338, 6.927134990692139
4, 10, 1760274070.791362, 1760274077.713428, 6.92206597328186
5, 10, 1760274077.713452, 1760274084.6976929, 6.984240770339966
6, 10, 1760274084.697716, 1760274091.6086001, 6.910884141921997
7, 10, 1760274091.608623, 1760274098.6284, 7.019777059555054
8, 10, 1760274098.628425, 1760274105.764132, 7.135707139968872
9, 10, 1760274105.7641542, 1760274113.210041, 7.445886850357056

7.259404873847961
